Goal velocity (deg/s),Present velocity (deg/s),Measured velocity (deg/s)
205.79999999999998,205.76379698478718,205.789775424036
-206.39999999999998,-206.36158333333157,-206.395808562388
206.39999999999998,206.37393568707776,206.395694604004
-206.99999999999997,-206.91314083878868,-206.93439935024
206.99999999999997,206.90113645818485,206.934303454214
-207.6,-207.51055082300377,-207.540099903002
207.6,207.51362639607308,207.540074292728
-208.2,-208.12131595796214,-208.14596475974
208.2,208.11303171419132,208.145990355102
-208.79999999999998,-208.7310575547439,-208.751728515166
208.79999999999998,208.7128420046162,208.751813052054
-209.39999999999998,-209.33703384071262,-209.357676205268
209.39999999999998,209.33532000849982,209.357734817276
-209.99999999999997,-209.92429307805347,-209.963346248494
209.99999999999997,209.94407533869074,209.963466419912
-210.6,-210.54334107679458,-210.569257336162
210.6,210.547947559689,210.569143708836
-211.2,-211.14422938825038,-211.17507323584
211.2,211.13963178951556,211.174937118932
-211.79999999999998,-211.74755432207346,-211.780931266212
211.79999999999998,211.7452963917528,211.78073225397
-212.39999999999998,-212.37022683348798,-212.386788133268
212.39999999999998,212.3630917346649,212.386585027048
-212.99999999999997,-212.9668719254202,-212.99265704559
212.99999999999997,212.96466379663835,212.99252996814
-213.6,-213.4995171431593,-213.53133543549
213.6,213.49463708839147,213.530925123612
-214.2,-214.09996569828968,-214.13709121033
214.2,214.11657571152602,214.136820063116
-214.79999999999998,-214.70861164072974,-214.743018142234
214.79999999999998,214.71935402456106,214.74272343616
-215.39999999999998,-215.3268044219482,-215.348992887254
215.39999999999998,215.3152330405573,215.3485816588
-215.99999999999997,-215.9132883021213,-215.954814147408
215.99999999999997,215.9115901610974,215.95453670674
-216.6,-216.54507665606303,-216.5608326165
216.6,216.53965810717222,216.560503730618
-217.2,-217.18730499862656,-217.166563184538
217.2,217.20201471655196,217.166361601178
-217.79999999999998,-217.74980716253333,-217.772513436316
217.79999999999998,217.74490922096916,217.772198400318
-218.39999999999998,-218.34448086667683,-218.378109208706
218.39999999999998,218.35672517122987,218.37819204781
-218.99999999999997,-218.9531565626117,-218.984120011518
218.99999999999997,218.95385594591318,218.984024360356
-219.6,-219.54178986436946,-219.59001125847
219.6,219.56344603380617,219.58996871629
-220.2,-220.1834112117668,-220.195919238604
220.2,220.15895765471765,220.195808753364
-220.79999999999998,-220.68175330862468,-220.734347413084
220.79999999999998,220.69918061765003,220.734325885074
-221.39999999999998,-221.31482034594524,-221.340019134614
221.39999999999998,221.30916482125645,221.340147197508
-221.99999999999997,-221.91564980054306,-221.94590394533
221.99999999999997,221.9177834991205,221.945935842412
-222.6,-222.521870862646,-222.551706376474
222.6,222.51968319652477,222.551793479706
-223.2,-223.13741522340248,-223.157603323516
223.2,223.12395049144536,223.15753785037
-223.79999999999998,-223.74380938914186,-223.763502034288
223.79999999999998,223.74226237556186,223.763413942354
-224.39999999999998,-224.3488258465818,-224.369425283048
224.39999999999998,224.3390511440119,224.36927415131
-224.99999999999997,-224.94338572319182,-224.975262782462
224.99999999999997,224.94350141875856,224.975012308874
-225.6,-225.55141433611226,-225.581108559442
225.6,225.54000638977826,225.580878278882
-226.2,-226.15566473788456,-226.186945021084
226.2,226.16241692766312,226.186786718064
-226.79999999999998,-226.76277424646747,-226.792868950618
226.79999999999998,226.7498660612981,226.792478721808
-227.39999999999998,-227.3080652567185,-227.331299464496
227.39999999999998,227.3032461695673,227.3311533351
-227.99999999999997,-227.90561739130754,-227.937308426492
227.99999999999997,227.9132191896967,227.937032309722
-228.6,-228.5092573355835,-228.543056835562
228.6,228.5186428305936,228.542980132226
-229.2,-229.11660879001693,-229.14915701622
229.2,229.120942268932,229.148930059114
-229.79999999999998,-229.73677441731223,-229.754831048188
229.79999999999998,229.73619188955823,229.754772993768
